,LONGITUDE,LATITUDE,Cluster
80656,-0.193115234375,53.625,19
80657,-0.2607421875,53.75,74
80659,-0.1951904296875,53.625,19
80660,0.1566162109375,49.46875,16
80661,0.1673583984375,49.46875,16
80663,-1.451171875,50.90625,11
80669,-1.453125,50.90625,11
80670,-0.269287109375,53.75,74
80672,-1.3310546875,50.84375,44
80674,-1.3310546875,50.84375,44
80712,-1.3349609375,50.84375,44
80714,0.2030029296875,49.46875,16
80715,0.2030029296875,49.46875,16
80718,0.349365234375,51.46875,42
80723,-1.326171875,50.84375,44
80725,0.1314697265625,49.46875,16
80737,0.324951171875,51.46875,42
80738,0.326416015625,51.46875,42
80739,0.326416015625,51.46875,42
80741,0.326904296875,51.46875,42
80742,0.326416015625,51.46875,42
80744,0.326416015625,51.46875,42
80746,0.324951171875,51.46875,42
80747,0.326416015625,51.46875,42
80750,0.326416015625,51.46875,42
80751,0.324951171875,51.46875,42
80752,0.326416015625,51.46875,42
80753,0.324951171875,51.46875,42
80757,0.324951171875,51.46875,42
80760,0.326904296875,51.46875,42
80761,0.326904296875,51.46875,42
80762,0.326416015625,51.46875,42
80768,0.326904296875,51.46875,42
80770,0.324951171875,51.46875,42
80775,0.326416015625,51.46875,42
80776,0.324951171875,51.46875,42
80779,0.326416015625,51.46875,42
80780,0.324951171875,51.46875,42
80781,0.326416015625,51.46875,42
80784,0.326416015625,51.46875,42
80785,0.324951171875,51.46875,42
80787,0.326416015625,51.46875,42
80788,0.326904296875,51.46875,42
80789,0.326904296875,51.46875,42
80791,0.326416015625,51.46875,42
80792,0.326416015625,51.46875,42
80795,0.326904296875,51.46875,42
80797,0.324951171875,51.46875,42
80800,0.326904296875,51.46875,42
80801,0.326416015625,51.46875,42
80806,0.326416015625,51.46875,42
80809,0.326416015625,51.46875,42
80810,0.326904296875,51.46875,42
80811,0.326904296875,51.46875,42
80812,0.326416015625,51.46875,42
80815,0.326416015625,51.46875,42
80816,0.326416015625,51.46875,42
80819,0.326904296875,51.46875,42
80821,0.326904296875,51.46875,42
80823,0.326904296875,51.46875,42
80824,0.326416015625,51.46875,42
80825,0.324951171875,51.46875,42
80826,0.324951171875,51.46875,42
80828,0.326416015625,51.46875,42
80830,0.326904296875,51.46875,42
80835,0.326416015625,51.46875,42
80836,0.324951171875,51.46875,42
80837,0.326416015625,51.46875,42
80839,-1.4658203125,50.90625,11
80843,-1.4658203125,50.90625,11
80847,-1.4638671875,50.90625,11
80850,-1.466796875,50.90625,11
80854,-3.0234375,53.46875,9
80856,-1.4658203125,50.90625,11
80860,-1.4541015625,50.90625,11
80866,-1.46484375,50.90625,11
80867,-3.01953125,53.46875,9
80870,-1.46484375,50.90625,11
80874,-1.46484375,50.90625,11
80877,-1.453125,50.90625,11
80881,-1.4501953125,50.90625,11
80885,-1.453125,50.90625,11
80886,-1.453125,50.90625,11
80887,-3.021484375,53.46875,9
80891,-1.4578450520833337,50.90625,11
80892,-1.4554036458333337,50.90625,11
80896,-1.4541015625,50.90625,11
80904,-3.03125,53.46875,9
80905,-0.2685546875,53.75,74
80953,-3.021484375,53.46875,9
80963,-2.078125,57.15625,7
80968,-1.419921875,50.90625,11
80969,-1.4150390625,50.90625,11
81049,0.509765625,51.5,15
81056,-1.33203125,50.84375,44
81069,-1.1644531249999996,54.59375,24
81078,0.53662109375,49.46875,124
81082,-1.166015625,54.59375,24
81097,0.501953125,51.5,15
81104,-1.166015625,54.59375,24
81107,0.20654296875,49.46875,16
81108,-1.166015625,54.59375,24
81111,-1.4228515625,50.90625,11
81112,0.1793212890625,49.46875,16
81113,-1.419921875,50.90625,11
81115,-1.419921875,50.90625,11
81117,-1.427734375,50.90625,11
81118,-1.419921875,50.90625,11
81119,-4.91015625,55.96875,407
81120,-4.91015625,55.96875,407
81121,-4.91015625,55.96875,407
81122,-4.91015625,55.96875,407
81123,-4.90625,55.96875,407
81124,-4.90625,55.96875,407
81125,-4.91015625,55.96875,407
81126,-4.91015625,55.96875,407
81127,-4.91015625,55.96875,407
81128,-4.91015625,55.96875,407
81129,-4.91015625,55.96875,407
81130,-4.91015625,55.96875,407
81131,-4.91015625,55.96875,407
81132,-4.91015625,55.96875,407
81133,-4.91015625,55.96875,407
81134,-4.91015625,55.96875,407
81135,-4.91015625,55.96875,407
81136,-4.91015625,55.96875,407
81137,-4.91015625,55.96875,407
81138,-4.91015625,55.96875,407
81139,-4.91015625,55.96875,407
81140,-4.91015625,55.96875,407
81141,-4.91015625,55.96875,407
81142,-4.91015625,55.96875,407
81143,-4.91015625,55.96875,407
81144,-4.91015625,55.96875,407
81145,-4.91015625,55.96875,407
81146,-4.91015625,55.96875,407
81147,-4.91015625,55.96875,407
81148,-4.91015625,55.96875,407
81149,-4.91015625,55.96875,407
81150,-4.91015625,55.96875,407
81151,-4.91015625,55.96875,407
81152,-4.91015625,55.96875,407
81153,-4.91015625,55.96875,407
81154,-4.91015625,55.96875,407
81155,-4.91015625,55.96875,407
81156,-4.91015625,55.96875,407
81157,-4.91015625,55.96875,407
81158,-4.91015625,55.96875,407
81159,-4.91015625,55.96875,407
81160,-4.91015625,55.96875,407
81161,-4.91015625,55.96875,407
81162,-4.91015625,55.96875,407
81163,-4.91015625,55.96875,407
81164,-4.91015625,55.96875,407
81165,-4.91015625,55.96875,407
81166,-4.91015625,55.96875,407
81167,-4.91015625,55.96875,407
