LONGITUDE,LATITUDE,PORT_NAME,PORT_CODE,CNTR_CODE3,SIZE,geometry,Master
26.01704372680544,60.4002790712135,ISNAS,ISN,FIN,,POINT (26.01704372680544 60.4002790712135),
28.91861650000007,62.09021400100005,ENONKOSKI,ENK,FIN,,POINT (28.91861650000007 62.09021400100005),
24.67661703869837,60.25098122629964,ESPOO,ESP,FIN,,POINT (24.67661703869837 60.25098122629964),
27.20000130888755,60.56753481609113,HAMINA,HMN,FIN,136.0,POINT (27.20000130888755 60.56753481609113),
28.80036135082088,61.22500110073813,IMATRA,IMA,FIN,,POINT (28.80036135082088 61.22500110073813),
4.009277344,51.43969727,REIMERSWAAL,REW,NLD,,POINT (4.009277344 51.43969727),
5.694885254,50.85107422,MAASTRICHT,MST,NLD,,POINT (5.694885254 50.85107422),
5.618030548,51.44009399,MIERLO,MIE,NLD,,POINT (5.618030548 51.44009399),
6.079284668,51.54608154,MEERLO-WANSUM,MEW,NLD,,POINT (6.079284668 51.54608154),
6.0526165,51.2914545,KESSEL,KSL,NLD,,POINT (6.0526165 51.2914545),
4.089294434,51.36309814,HONTENISSE,HTN,NLD,,POINT (4.089294434 51.36309814),
24.37768555,60.08349609,KANTVIK,KNT,FIN,12.0,POINT (24.37768555 60.08349609),
22.86831427021528,60.18717311768233,STROMMA,STR_1,FIN,,POINT (22.86831427021528 60.18717311768233),
22.9749774931926,60.25675582910196,TEIJO,TEI,FIN,,POINT (22.9749774931926 60.25675582910196),
21.65323992283362,63.10702802938692,VAASA,VAA,FIN,,POINT (21.65323992283362 63.10702802938692),
21.65231550000007,60.46390050100007,VELKUA,VEL_2,FIN,,POINT (21.65231550000007 60.46390050100007),
19.62225,60.21057000100012,ECKERO,ECK_1,FIN,,POINT (19.62225 60.21057000100012),
20.42859350000009,60.00480100100003,FOGLO,FOG,FIN,,POINT (20.42859350000009 60.00480100100003),
21.37513250000006,60.21797650100007,HOUTSKAR,HOU,FIN,,POINT (21.37513250000006 60.21797650100007),
21.38100900000012,60.39938500100004,INIO,INI,FIN,,POINT (21.38100900000012 60.39938500100004),
21.225151,62.37772400100005,KASKINEN,KAS,FIN,15.0,POINT (21.225151 62.37772400100005),
21.51825800000012,63.05535900100006,KRONVIK,KRO,FIN,25.0,POINT (21.51825800000012 63.05535900100006),
21.35470300000011,60.54825900100008,KUSTAVI,KUS,FIN,,POINT (21.35470300000011 60.54825900100008),
21.6387845000001,61.36471650100003,LUVIA,LUV,FIN,,POINT (21.6387845000001 61.36471650100003),
21.497132,61.85583600100006,MERIKARVIA,MER_1,FIN,,POINT (21.497132 61.85583600100006),
21.94791200000012,60.37580900100011,RYMATTYLA,RYM,FIN,11.0,POINT (21.94791200000012 60.37580900100011),
21.05453531557603,60.42845348312682,BRANDO,BRA_1,FIN,,POINT (21.05453531557603 60.42845348312682),
21.49795694537809,61.24630589213621,EURAJOKI,EJO,FIN,3.0,POINT (21.49795694537809 61.24630589213621),
20.01271061618348,60.23845311940195,FARJSUND,FAR,FIN,,POINT (20.01271061618348 60.23845311940195),
21.91094606332419,60.19157460586052,NAUVO,NAU,FIN,,POINT (21.91094606332419 60.19157460586052),
24.1587,65.863734,TORNIO,TOR_1,FIN,,POINT (24.1587 65.86373399999999),
28.4899,61.133934,JOUTSENO,JOU,FIN,,POINT (28.4899 61.133934),
24.40588379,57.30352783,SKULTE,SKU,LVA,18.0,POINT (24.40588379 57.30352783),
4.647888184,51.8638916,ALBLASSERDAM,ABL,NLD,,POINT (4.647888184 51.8638916),
6.164916992,51.37109375,VENLO,VEN,NLD,,POINT (6.164916992 51.37109375),
22.80565371,57.50805556,ROJA HARBOR,ROJ,LVA,,POINT (22.80565371 57.50805556),
21.01,56.51,LIEPAJA_1,LIE_1,LVA,,POINT (21.01 56.51),
23.433333,57.0,SMARDE,SMA,LVA,,POINT (23.433333 57),
4.241699219,51.50170898,BERGEN OP ZOOM,BZM,NLD,,POINT (4.241699219 51.50170898),
5.575634002,51.27405167,BUDEL,BUD_1,NLD,,POINT (5.575634002 51.27405167),
24.616667,65.7,KEMI_1,KEM_2,FIN,10.0,POINT (24.616667 65.7),
23.433333,59.983333,EKENAES,EKE,FIN,,POINT (23.433333 59.983333),
23.566667,59.833333,EKENAES_1,EKE_1,FIN,,POINT (23.566667 59.833333),
24.166667,65.766667,HAPARANDA,HAP,FIN,,POINT (24.166667 65.766667),HAPARANDA
23.65,64.0,HIMANKA,HIM,FIN,,POINT (23.65 64),
22.666667,63.683333,JAKOBSTAD,JAK,FIN,,POINT (22.666667 63.683333),
22.283333,63.416667,ORAVAIS,ORA_2,FIN,,POINT (22.283333 63.416667),
22.233333,63.283333,ORAVAIS_1,ORA_1_1,FIN,,POINT (22.233333 63.283333),
21.4,62.283333,KRISTINESTAD_1,KRI_1,FIN,,POINT (21.4 62.283333),
21.483333,61.6,MERIKARVIA_1,MER_2,FIN,57.0,POINT (21.483333 61.6),
21.4,61.633333,MERIKARVIA_2,MER_3,FIN,41.0,POINT (21.4 61.633333),
